Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre,hiphop,rap,pop,electronic,trap,indie,rnb,rock,dance,reggaeton,Label
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,7,-7.462999999999999,1,0.0384,0.16399999999999998,0.0,0.0708,0.35,150.273,241107,4,"christmas,pop,xmas,mariah+carey,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
Despacito (Featuring Daddy Yankee),Luis Fonsi,0.66,0.7859999999999999,2,-4.757,1,0.17,0.209,0.0,0.11199999999999999,0.846,177.833,228200,4,"latin,pop,daddy+yankee,meme,2017,latin,pop,latin+pop",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
I Don't Care (with Justin Bieber),Ed Sheeran,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,219947,4,"pop,2010s,2019,no+6+collaborations+project,acoustic,british,singer-songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7 rings,Ariana Grande,0.725,0.321,1,-10.744000000000002,0,0.32299999999999995,0.578,0.0,0.0884,0.319,70.142,178640,4,"trap,rap,pop,rnb,pop,rnb,female+vocalists",0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,166568,4,"hip-hop,emo,emo+rap,rap,hip+hop,hip-hop,cloud+rap,rap",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Last Christmas,Wham!,0.735,0.478,2,-12.472000000000001,1,0.0293,0.18899999999999997,2.48e-06,0.355,0.9470000000000001,107.682,262960,4,"christmas,80s,pop,xmas,pop,80s,british",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Señorita,Shawn Mendes,0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,190960,4,"pop,latin,camila+cabello,latin+pop,pop,canadian,folk",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233713,4,"pop,dancehall,2017,best+of+2017,acoustic,british,singer-songwriter",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
In My Feelings,Lana Del Rey,0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.11199999999999999,0.309,89.93299999999999,238719,4,"trip-hop,trip+hop,baroque+pop,amazing,indie,female+vocalists,pop",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
"thank u, next",Ariana Grande,0.7240000000000001,0.647,1,-5.642,1,0.0658,0.28,0.0,0.102,0.435,106.96,207333,4,"pop,rnb,pete+fracassado,pop,rnb,female+vocalists",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
